O₃ [µg/m³],NO₂ [µg/m³],SO₂ [µg/m³],PM2.5 [µg/m³],CPC [1/cm³],NOₓ [µg/m³ eq. NO₂]
4.2,22.2,1.9,17.1,9144.6,57.9
4.7,22.6,2.5,18.9,9738.3,64.4
6.1,21.6,2.9,19.7,12013.4,66.1
6.8,24.7,3.4,20.2,11193.2,59.5
5.4,26.5,2.9,20.3,11067.1,57.4
2.7,27.6,2.1,20.8,12611.5,67.4
1.8,29.7,4,21.5,14370.5,69.2
1.7,29.7,2.6,21.9,15892.4,69.1
1.8,28.9,3.2,24.4,17761.0,86
2,27.5,3.2,26.3,16733.6,95.6
1.6,26.8,3.4,25.4,13810.0,93.3
1.7,24.7,3.7,25.8,14408.2,89.4
1.6,22.9,3.2,25.4,12861.7,90.1
1.5,21.4,2.8,24.6,11423.0,81.5
1.4,22,2.4,23.5,11154.3,74.5
1.3,21.3,2.9,23.7,10169.3,69.9
1.4,19.8,3,23.3,11072.8,70.8
1.3,20,2.9,22.4,10151.6,61.6
1.3,21.7,2.5,21.8,9352.1,56.7
1.3,24.7,1.9,21.6,8574.3,51.7
1.2,28.1,1.7,18.9,9307.2,52.8
1.3,29.8,1.9,18.3,10783.1,59.4
1.5,30.5,2.2,16.7,11708.0,63.1
2.5,31.1,2.5,18.3,12745.2,61
3.3,30.9,2.6,21.3,13250.2,63.2
4.2,31.3,2.5,21.8,13819.5,64.4
7.4,28.7,2.9,22.9,14099.3,61.4
8.4,29.7,2.8,20,15476.8,60.6
7.1,33,2.8,18.6,14259.8,60
4.3,41.3,2.7,17.7,16612.0,74.8
2.9,47.6,2.7,15.8,15301.4,70.3
2.1,45.2,2.6,16.9,14275.7,63.8
6.6,39.9,1.9,16.4,11381.6,45.6
11,33.7,1.4,15.8,9601.3,35.6
10,34.2,1.2,17.3,9558.9,36.2
12.3,31.7,1.2,17,8637.4,33.1
14.5,30.3,1.3,16.2,8702.9,31.3
9.9,32.1,1.5,21.6,8453.0,33.9
8.2,33.3,1.4,18.5,8072.2,34.7
9.1,31.2,1.9,16.8,9303.9,32.7
5.9,33,1.5,15.3,7552.9,36.1
38.1,5.8,1.7,5.9,2759.2,6.3
51.4,2.9,1.3,0.5,718.2,3.1
53,2.6,1,0.4,768.4,2.6
50.8,4.3,0.9,0.3,2436.5,4.6
50,5.3,0.8,0.4,2440.7,5.6
51,6.9,0.8,0.6,2607.4,7.1
51.8,4.8,0.7,0.4,1420.0,5.2
53.6,2.7,0.7,0.4,1325.6,3.4
54.2,2.4,0.7,0.4,1268.8,3.3
54.3,2.2,0.6,0.5,1022.9,2.6
53.6,2.4,0.6,0.6,1313.3,2.6
52.4,2.9,0.5,0.6,1602.8,3.3
49.8,3.6,0.6,0.5,2162.4,3.9
47,4.2,0.5,0.5,2321.8,4.4
45.4,4.9,0.5,0.9,2849.5,5.3
37.3,10.3,0.5,2.1,6158.7,10.5
37.8,12.8,0.6,3.6,7427.1,13.4
51.9,2.9,0.4,1.6,2599.2,3.1
52,2.8,0.3,1.6,2477.6,2.8
38.9,10.5,0.5,3.1,7982.7,10.7
23.5,20,0.7,5.9,15655.3,21.3
24.5,16,0.9,4.6,9017.8,17
19.3,18.7,2,5.5,9928.1,19.5
14.4,22.1,1.8,5.4,8007.9,22.9
13.5,20.8,2.5,5.7,8912.8,21.9
14.2,18.2,2.2,6,7740.3,19
9.6,22.5,2.5,5.9,10011.3,24.4
6.6,25,2.2,6.3,10550.1,28.6
2.2,28.8,2.7,7.3,14233.0,42.1
2.4,28.5,2.5,7.7,12406.9,47
5.6,24.4,2.1,8.3,10377.9,41.7
10.7,20.3,1.9,8.5,10437.9,35.7
9.5,22.9,2.4,9.9,14069.7,47.5
9.5,23.1,2.6,9.5,13505.9,46.4
7.1,25.2,1.9,9.5,12002.8,56.6
5.8,28.6,1.9,9.8,12035.2,70.2
2.9,35.1,2.1,10.6,14344.9,85.4
1.8,37,2.4,11.4,16319.0,83.6
1.4,36.2,2.5,12.7,17926.4,89.2
2,34.4,1.7,14.9,15143.8,75.6
1.6,35.8,1.5,14,18084.0,77.4
20.4,26.1,1.1,10.3,10813.0,47.6
64.1,2.6,0.6,1.6,2194.3,2.9
69.9,1.9,0.4,0.9,1603.8,2.4
70.1,1.4,0.3,0.8,1259.7,1.8
72.6,0.9,0.2,0.9,1049.3,1.2
73.5,0.9,0.2,0.9,1103.2,0.9
74.1,0.7,0.1,0.7,777.7,0.9
76.8,0.5,0.1,1,560.6,0.6
72.9,0.8,0.1,1.3,710.2,0.6
71.7,0.9,0.1,2.1,1013.1,1.3
70,1.4,0.1,2,1453.4,1.7
69.1,1.2,0.1,1.9,1300.3,1.4
69.4,1.4,0.1,2,1285.8,1.5
68.3,1.5,0.1,2.1,1403.9,1.6
70.2,1.5,0.1,1.6,1551.5,1.8
69,1.6,0.1,1.6,1704.8,2
68,1.6,0.1,1.4,1826.3,2.1
66.2,1.8,0.2,1.4,1853.5,2.1
64.8,2.1,0.1,1.5,2183.4,2.4
61.5,3.1,0.2,1.7,3251.9,3.5
54.6,6.6,0.2,2.2,6190.1,7
47.1,10.6,0.3,4.1,9855.6,11.1
54,4.7,0.2,2.6,6257.6,5.1
56.1,2.7,0.1,0.9,3092.9,2.8
55.8,3.9,0.1,3.4,2243.7,4.1
56.6,3.6,0.1,3.1,1794.5,3.7
56.3,3.8,0.1,1.9,2311.1,4
55.9,3.6,0.1,2.2,2412.1,3.7
54.8,3.5,0.1,2.7,2207.7,3.7
54.2,3,0.1,2.5,2069.6,3.2
55.6,2.4,0.1,3,1697.3,2.6
55.2,2.6,0.1,3.9,1607.6,2.7
52.7,3.2,0.2,4.7,1936.7,3.2
51.5,3.4,0.2,5.6,2212.0,3.6
49.5,4.5,0.2,6.1,2376.8,5
43.5,5.3,0.2,6.1,3387.7,5.6
39.2,7.5,0.4,6.4,4414.8,8.2
40.4,6.4,0.3,6.7,3938.0,7.3
42.4,6.7,0.3,6.5,4423.9,7.8
46.3,8.1,0.4,5.9,4705.3,9.8
43.3,10.8,0.3,6.5,4893.1,12.4
42.7,8.5,0.3,7.1,6361.9,10.3
40.3,8.7,0.2,6.8,5487.6,10.1
40.9,9,0.2,7.4,4944.4,9.9
42.1,10,0.2,7.9,5776.1,10.7
43,10.4,0.2,7.5,6618.1,10.6
45,9.6,0.2,7.1,6586.3,9.6
48.2,8.7,0.3,6.1,5840.6,9.2
40,12.8,0.3,7.9,11608.6,13.2
37.1,14.2,0.3,8.9,9416.5,14.8
29.4,19,0.4,10,14889.2,20.1
27.6,18.5,0.5,11.8,15378.0,19.4
30.4,13.8,0.4,10.5,9147.6,14.3
28.1,13.5,0.4,11,7829.9,13.9
16.8,21.5,0.6,12.7,9323.1,22.2
13.7,23.3,0.6,12.6,8865.3,24
19.1,14.7,0.5,11.9,7079.5,15.1
24.6,9.6,0.4,10.8,5196.0,10
22.4,11.1,0.4,11,5500.4,11.8
26.5,11.1,0.5,11.2,5312.7,11.5
20.1,17.9,0.8,11,7768.3,20.4
17.6,20.7,1.3,10.6,9150.1,28.1
29.5,14,0.9,12.4,6119.9,20.8
36.1,11.9,0.8,12.7,5495.0,17.5
42.6,12.2,0.7,12.9,7091.4,16.6
50.1,9.4,0.7,11.8,6434.6,12.4
49.9,7.2,0.6,12.3,5268.1,8.8
52.4,7.5,0.4,11.5,4912.9,8.5
47.8,16,0.6,13.8,15978.5,16.9
38.5,24.2,0.9,17.8,23174.8,25.7
36.8,19.9,0.6,18.5,17275.5,21.2
41.5,11.9,0.5,35.8,17861.5,13.3
37.5,16.5,0.6,17.9,15315.3,17.8
16.3,35.4,0.9,19.3,16744.8,39
10.3,39.6,1.6,20,16498.1,42.9
11.3,36.4,1.7,19.6,15165.8,39
25.3,20.2,1.3,16.4,10963.0,21
39.7,8.1,0.6,11.6,5283.3,8.6
34.5,12.2,0.6,10.4,6102.3,12.7
28.2,17,0.8,10.6,7752.3,18.1
14.3,26.8,1.1,14.1,9279.9,28.6
23.7,20.1,1.9,13.7,8361.3,21.3
23.4,20,1.5,11.2,8491.1,21.3
17.8,25.4,2.4,10.6,9710.3,27.2
22.3,19.6,2.8,10.5,9212.1,21.6
25.1,18.6,1.8,12.8,7431.1,22.6
26.8,18.1,2.3,12.8,8512.5,23.6
26.7,19.2,2,13.7,8744.1,26.5
29.9,18.3,1.3,14.1,8380.1,25.7
33.8,17,1,12.7,7887.7,21.4
37.1,15.4,1,11.6,6961.4,18.1
36.9,17.3,1,10.5,7502.1,18.8
37.5,17.9,1.2,10.3,8707.1,19
57.5,14.2,1.4,7.5,7170.2,15
84.7,1.9,0.8,1.5,1459.0,2
85.3,1.9,0.6,0.9,1208.0,2.4
85.8,1.7,0.5,1,1009.3,1.6
85.4,1.6,0.5,0.7,852.1,1.7
84.8,1.2,0.4,0.7,911.2,1.3
83.7,1.2,0.4,0.6,941.7,1.2
83.6,1,0.3,0.4,699.5,1
81.9,1,0.3,0.2,624.3,1
80.4,1.2,0.3,0.1,747.6,1.2
70.4,4.7,0.7,0.5,2788.3,5.2
61.5,8.7,1.5,0.9,5323.4,8.8
53.3,12.6,0.8,1.4,6197.7,12.8
41.9,22.3,0.8,2.7,7767.6,22.8
43.2,21.6,1,2.9,8288.3,22.1
43.4,22.1,1.1,3.4,9352.6,22.9
35,25.5,0.9,3.4,10208.2,28.2
30.7,28.9,1.5,4.3,11813.7,33.1
62.2,8.1,0.6,1.8,2971.3,8.7
65.7,4.3,0.5,1,2929.4,5.1
