O₃ [µg/m³],NO₂ [µg/m³],SO₂ [µg/m³],PM2.5 [µg/m³],CPC [1/cm³],NOₓ [µg/m³ eq. NO₂]
33.2,12.4,0.8,13.6,5399.1,13.6
30,16.3,0.8,14.8,6712.9,16.9
24.5,21.7,0.7,15.8,7293.6,22.1
25.2,18.3,0.7,17.4,7091.5,19
27.4,13.9,0.6,18.7,6412.8,14.4
34.3,9.7,0.6,17.1,4695.3,10
35.1,10.3,0.5,16.8,4430.4,10.6
36,9.1,0.5,16.4,3551.4,9.4
35.6,9.1,0.5,15.5,3008.6,9.3
36.4,8.2,0.4,10.9,2329.5,8.6
33,7.9,0.4,12,2361.0,8.2
32.7,7.7,0.4,9.8,1963.1,8
31.2,8.7,0.4,9.6,2512.5,9.1
29.5,10.5,0.5,10.8,3566.0,10.9
12.9,26.4,0.9,10.8,8186.6,28.6
6.3,33.4,1,11.1,10111.0,41.9
3.1,38.9,1.2,11.1,12736.4,67.7
8.2,31.1,1.2,12.3,11141.0,48.7
8.1,35,1.7,15.1,15876.3,77.4
10.9,35.6,2.5,17.4,13557.3,78.4
23.3,23.5,2,17.7,8306.8,43
29.9,16.3,0.9,18.2,5752.5,22.1
32.2,13.8,0.8,17.1,6026.2,17.6
33.8,15.1,0.9,17.5,6974.9,18.3
36,16.1,0.9,13.1,6578.7,17.2
25.8,23,0.8,14.1,8781.0,23.6
30.6,18.9,1,18.2,11136.8,19.4
24,21.4,0.8,20.1,9949.7,21.9
25.4,15.7,0.6,21.4,9751.5,16.4
13.4,34,0.9,23.2,13145.8,52.2
2.5,46.7,1.7,25.5,16582.3,92.3
2.1,41.3,1.2,24.1,12406.1,63.4
2.1,41,1.4,23,11939.1,59.2
2.7,37.7,1.5,21.4,10264.3,46.4
3.2,35.7,1.2,19.6,9594.6,44.3
3.7,34.2,1.9,19.2,10398.5,40.4
4.2,32.3,1.5,18.9,9236.0,38.1
7.9,30.3,1.3,15.4,8238.5,33
2.8,32.6,0.8,21.5,7832.7,37.3
1.7,33.6,1.3,24.3,9486.0,48.4
3.4,31.8,2.8,18.5,11923.1,49.3
8.9,26.6,2.6,21.5,11508.9,52.7
15.9,24.1,2.5,21.2,11075.5,48.4
17.7,27.5,2.5,20.9,11719.1,59.2
27.8,23.1,1.6,17.3,7672.6,41
28,25.1,1.5,18.9,11834.9,44
29.8,22.4,1.2,19.9,9750.5,34.1
28.5,21.8,1,21.1,7630.2,28.3
24.6,28.9,0.9,19.6,9328.4,32.9
25,34.6,1,16.6,13480.6,36.7
31.4,28.5,1,14,13536.4,29.9
30.7,25.1,1,16.3,11967.0,26.2
22.9,32.5,1.3,20.2,15549.9,34.2
10.9,43.9,1.5,24.8,18447.3,53.8
7.4,38.7,1.4,31.8,19497.1,43.4
16.6,27.9,1,24.1,11290.7,29.7
22.1,21.5,0.8,18.5,7727.0,22.3
22.5,20.7,0.8,17.1,6340.1,21.6
30.4,16.1,0.8,13.4,4239.4,17.1
21.4,20.8,0.8,15.3,5421.1,22.2
17,22.9,0.7,16.7,5599.1,24.1
19.6,22.5,0.8,13.2,5863.4,24.5
20.3,20.8,0.9,11.9,6557.2,22.2
19.6,20.8,0.8,11.8,6317.6,22.3
15.9,24.3,0.9,11.4,7190.9,27.6
22.1,21.1,0.9,11.5,7544.5,27.4
20.4,21,1.1,14,9866.2,34.4
22.8,20.3,1.2,17.9,11285.0,38.6
31.6,16,1,15.6,6619.8,26.4
38,12.3,0.9,13,6889.6,18.4
39,12.4,0.9,12,8330.5,17.4
37.1,12.9,0.9,11.2,8791.3,16
35.2,15.2,0.8,10.3,6810.5,16.9
34.6,22.8,0.9,10.6,11113.1,23.5
35.4,20.9,1,11.3,10136.2,22
30.9,24.2,1.1,14.4,9901.9,25.3
34.8,19.5,0.9,14,7140.9,20.4
43.2,11,0.6,13.5,3299.3,11.7
42.8,10.1,0.7,12.8,4047.6,10.5
40.9,11.8,0.7,12.9,3347.4,12.5
44.4,10.7,0.7,14.2,2983.3,11
46.9,9.2,0.6,15.3,2526.8,9.7
47.6,9.5,0.7,16.2,2366.0,10.2
48.5,8.4,0.6,16,2223.7,8.9
47.7,9.3,0.7,16,2268.0,10
44,11.3,0.7,16.4,3148.7,12
10.2,33,0.8,16.4,12121.4,36.9
4.6,40,0.9,16.2,13140.4,47.4
3.6,42.6,1.1,17.6,13460.5,67.2
5.5,38.1,1.6,25.3,18463.4,86.3
9.2,36.9,2,27,22080.8,82.8
30.6,25.2,1.4,24.1,10474.8,48.9
40.9,15.2,0.9,23,5452.0,22.2
41,16.6,0.9,23.6,5523.2,23.4
39.6,19.9,0.9,24.8,5919.1,27.4
36.7,22.9,0.9,25.4,5830.3,28.9
30.5,28.3,0.9,25.4,7428.4,31.5
12.1,47.7,1.3,27.4,10826.8,51.9
2.5,58,1.7,30.3,14931.6,74.2
3,53.6,1.8,33.6,16103.2,70
3.4,50.6,1.8,38.5,17189.8,71.5
2.3,52.2,2.6,38.2,16789.9,92.2
2.3,51.3,14.4,36.3,15048.2,80.6
10.1,32.4,2.1,33.8,10628.7,36.1
15.5,29.4,1.6,30,10725.8,32.5
14.4,32.1,1.8,28.6,11038.4,38
4.3,43.3,1.8,29.9,10722.8,51
6.5,43.2,2.3,27.4,11948.3,50.3
3.4,47.7,2.6,27,11755.4,60.3
2.8,49,3.8,27.5,12254.7,63.7
2,52.5,5.8,27,17184.5,81.4
1.7,59.1,5.5,25.3,18920.2,119.1
44.6,30.2,2.8,11.5,8481.7,50.4
64.6,9.7,1.5,3,2919.2,11.1
63.7,11.4,1.3,3.7,4079.7,12.8
71.2,7.5,1.2,1.6,3242.6,8
71.5,6.2,1.1,0.8,2166.2,6.7
69,6.2,0.9,0.8,2175.1,6.4
65.6,7.4,0.9,0.6,2976.8,7.8
64.6,6.6,0.9,0.5,3009.3,7.2
62.7,7,0.8,0.7,2482.3,7.3
61.4,7.1,0.8,0.6,2744.4,7.3
60.4,6.8,0.8,0.8,2843.5,6.9
41.3,24.9,1,2.7,8490.8,29
7.3,58.1,1.8,10.9,18278.0,66.7
21.7,42.2,1.3,8.8,11718.3,45.2
51.3,9.3,0.9,2.4,4092.0,9.8
55.1,4.5,0.7,1.1,1613.8,4.5
52.1,5,0.7,1.5,1796.2,5.5
48.4,6.6,0.6,2.1,2648.9,7
40.7,10.5,0.6,4.1,3582.6,10.6
38.2,11,0.6,5.5,3290.3,11.4
41.4,9.8,0.7,5.9,3732.1,10.2
41,10.5,0.8,6.1,4136.3,11
43.6,12.5,0.8,6.1,5297.6,13.1
26.1,33,1,6.7,11051.6,38.7
34.5,30.5,1.1,6.3,11572.6,32.3
38.7,25.2,1,7.6,12696.8,28.4
43,18.4,0.9,9.4,9198.3,22.3
62,7.8,0.8,6.3,6173.8,9.5
67.6,4,0.8,5,2283.2,4.8
63.6,5.7,0.7,5.4,3796.9,6.7
62.3,7.1,0.6,4.6,3488.2,8
61.7,5.8,0.6,3.4,3582.8,6.1
53.7,12.1,0.6,3.4,5819.9,12.7
64.2,8,0.6,2.4,4508.7,8.3
61.8,6.5,0.5,1.5,4026.0,6.9
56.7,8.7,0.7,2.1,5633.7,9.6
49,14.6,0.7,3.3,6970.1,15
61.9,3.9,0.6,0.8,1789.9,3.9
63.4,3.2,0.6,0.5,1027.7,3.6
62.5,3,0.5,0.3,873.0,3.4
62.3,2.7,0.5,0.3,691.1,2.7
63.4,2.3,0.5,0.2,688.3,2.5
65,2,0.5,0.2,691.3,2.1
66.3,1.9,0.5,0.2,695.3,2
67.2,1.7,0.4,0.2,630.8,1.8
67.1,1.7,0.4,0.2,722.3,2.1
53.9,9,0.3,0.9,5118.0,9.3
64.1,12.4,0.3,1,6830.2,12.7
59.9,14.6,0.3,2.2,5801.8,15.1
47.8,23.5,0.3,2.7,7784.4,25.1
43.3,26.9,0.4,3.6,8925.3,30.9
40.8,26.9,0.4,4.1,7891.4,33.2
33.3,37.9,0.5,6.2,11684.8,50
37.2,33.7,0.4,8,9346.7,44.7
30.4,38.2,0.5,7.9,9083.9,49.6
14.6,58.7,0.7,8.9,11451.9,82.8
36.9,37.9,0.4,4,9102.6,40.5
55.5,21.6,0.3,2.7,6160.5,22.4
58,15.6,0.3,2.4,4985.6,16.3
60.3,12.5,0.3,2.4,4371.5,13
60.5,11.7,0.3,2.8,4152.5,12
60.6,12.4,0.3,2.9,4116.9,12.7
61.9,9.3,0.3,2.4,3199.6,9.8
60,9.4,0.4,2.9,3122.4,9.9
55.7,10.8,0.4,3.3,2865.1,11.1
50.1,13.4,0.4,4.2,3073.9,14.2
50.5,12.8,0.4,4.4,3046.0,13.3
53.6,10.8,0.3,4.1,2693.9,11.2
52.1,11.7,0.4,3.6,2623.9,12.2
45.9,15.2,0.4,4.3,3785.3,15.6
36.6,24.2,0.4,5.5,5419.5,24.7
24.8,40.3,0.4,6.8,7982.0,41.7
20.7,45.9,0.7,6.7,8530.8,49.6
24,41.5,0.6,6.3,9945.1,49.3
25.3,26.5,0.5,6.2,6427.7,34.7
24.1,28.7,0.5,8.6,6880.7,40.5
28.1,25.4,0.5,12.9,6692.7,34.3
30,26.7,0.5,16.7,6961.8,35.3
31.6,27.7,0.5,17.3,8295.4,35.6
28.9,31.3,0.5,18.4,12310.8,39.3
27.6,33,0.5,18.9,10344.4,36.5
23.1,38.5,0.5,20.5,12470.5,42.7
21.9,37.7,0.5,24.8,7377.7,38.7
23,34.6,0.5,28.6,6262.4,35.3
23.5,32.9,0.6,24.8,6609.3,38.9
19.5,36,0.6,28,7147.4,37.4
14.3,42,0.7,30,10078.3,43.4
14.2,42,0.7,30.2,8486.0,43.4
7.9,45.8,0.5,33.5,11736.2,49.6
8.5,42.8,0.4,37.4,6874.9,45
11.7,40,0.5,35.6,5202.8,41.5
25.6,28.3,0.5,24.4,3845.7,29.2
26.7,27,0.5,22.4,3409.3,27.5
21.1,31.6,0.7,26.9,4031.8,32.3
20.6,31.3,0.8,27.3,4113.6,32.3
21.3,30.1,0.9,26.6,4826.1,31.2
25.5,25.3,0.7,22.7,4011.9,26.9
25.9,25,0.9,21,7048.0,30.6
27.5,24.8,0.9,22.5,7112.4,35.6
32.1,21.7,0.8,22.1,5968.1,32.1
36.1,19.3,0.8,20.3,4551.4,27.5
39.1,17.5,0.8,20,3743.1,24.3
40.7,17,0.7,20.9,3968.4,22.7
35.2,22.7,0.8,22,6216.7,27.7
31.8,26.7,0.8,22.9,6270.7,29.4
14.9,45.8,1.3,27.5,11353.1,48.2
22.6,38.1,1.1,26.1,10687.2,39.8
24.4,35.6,0.8,26.4,10414.4,37.1
23.6,36.4,1.3,27.4,11346.0,37.9
32.1,26.7,1.7,23.9,8814.4,27.5
28.7,28.2,1,27,7648.0,29.3
25.2,31.1,1.4,28.3,8110.7,32.1
24.3,31.2,2.1,26.3,7269.4,32.2
22.3,31.2,1.8,26.9,7707.0,32.3
19.5,32.2,1.6,27.6,7343.2,33.2
20.2,32.3,1.7,28.3,6783.8,33.4
17.2,33.3,1.4,27.7,6527.2,34.9
13.6,35.6,1.5,28.1,7563.2,37
11.2,39.9,1.6,27.5,8410.7,42.8
14.6,39.2,2.3,23.8,9618.2,42
29.5,28.4,1.7,12.9,7292.8,31.3
50,11.4,1.2,6.2,4039.9,12.5
54.3,8.4,1,4.7,2529.6,9.2
46.2,14.1,0.9,5.2,5887.5,16.9
42.1,17.2,1,6.4,8003.2,20.1
50.8,9.1,0.9,3.3,4625.4,10.5
50.6,6.1,0.8,1.3,2280.2,7.3
50.4,6.2,0.7,2.9,2504.9,7.1
51.7,7.5,0.6,4.6,3118.8,8.1
52.4,8.2,0.6,6.3,4072.5,9
50.3,10,0.6,7.9,4954.6,10.6
47.8,10.2,0.8,8.6,6639.5,10.5
51.7,7.8,0.6,10.6,3877.5,8.1
56,6.5,0.5,10.5,2972.6,6.7
55.8,6.3,0.5,8.6,3202.9,6.8
59,5.2,0.5,6.3,2270.4,5.5
61.2,4.7,0.5,7.3,1954.6,5.1
64.2,3.9,0.5,7.9,1623.6,4.3
65,3.4,0.5,7.9,1480.8,3.5
62,5.8,0.5,7.2,2607.1,6.2
66.5,3.5,0.5,6.3,1541.4,3.5
65.5,4.1,0.5,5.6,1578.4,4.2
63.1,6.1,0.6,7.1,3244.8,6.4
62,7.6,0.5,7.8,3486.4,8.1
50.4,18.8,0.6,8.3,6597.9,19.9
63,9,0.6,7.6,4243.8,10.2
68.7,5.6,0.5,5.4,2870.8,6.6
69.6,5.2,0.6,5.8,3328.7,6.5
71.6,4.2,0.5,5.4,2443.2,5.7
72.4,5,0.5,5.6,2611.7,6.2
70.6,7.1,0.8,5.3,4797.1,8.5
66.2,9.4,0.7,6.4,5521.9,10.6
61.3,12.8,0.6,7.2,6557.8,13.6
54.5,18.9,0.8,6.7,9476.0,19.4
51.1,22.4,0.8,6.7,9837.3,23.1
54,16.9,0.7,7.4,8464.2,17.4
36.5,30.1,0.8,13.3,13784.9,32.2
31.2,30.4,0.8,16.2,13692.0,31.6
46.8,15.6,0.5,12.8,8252.3,16.4
59.7,7.6,0.4,7.6,4576.4,8
57.8,7.3,0.4,6.3,4415.8,7.7
62.8,4.8,0.5,6.2,2972.1,4.8
62.4,5.4,0.4,5.9,2957.1,6
57.2,8,0.4,5.8,4078.6,8.4
19.5,35,0.9,9.2,9049.2,38.4
12.9,43.2,1.1,10.5,10055.0,46.9
6.7,52.7,1.7,11.5,13172.3,63.9
1.8,63.6,2,13.2,19474.0,103.9
4.6,66.2,3.1,15.3,26539.2,136.8
16,55.8,2.8,14.3,24133.3,109
23.7,51,2.7,15.6,22790.5,100.6
35.9,35.6,2.3,16.5,16429.2,65
35.6,41.8,2.2,17.2,15914.4,75.2
47.2,33,1.3,12,10739.4,48.7
46,35.4,1.2,10.2,11063.3,46.7
32.6,49.7,2.8,12.8,16795.7,69.2
17.3,64.6,5.5,16.3,20708.3,89
3.5,76.9,4.3,19.7,19573.1,104.8
2.4,74.9,4.2,20,19509.9,106.4
3,69.7,3,18.4,17872.3,86.2
4.9,63.9,2.1,18.8,14992.3,73
11.8,54.2,1.9,19.2,12988.0,57.7
17.4,47,1.6,17.2,11674.9,49.4
29,34.2,2.3,13.8,11357.7,35.3
30.8,31.3,2.5,13,10995.8,32.2
32.8,29.1,2.1,11.6,9450.9,29.9
36.4,25.3,2.2,11.2,9261.2,26.3
36,24.2,2.2,11.6,8811.1,24.9
32,26.9,2.2,12.2,9453.2,27.5
28.1,30.2,2.4,13.4,10003.1,31.2
18.8,38.7,2.2,14.4,12058.5,41
6.2,54,2.6,14.8,15842.1,65.1
12.2,48.7,1.9,16.1,13320.5,61.4
21.6,41.9,2.6,15.8,15138.5,59
35.6,31.5,2.5,14.5,13121.5,45.1
37.9,31.7,2.3,14.4,14474.8,47.3
43.4,29.6,2.4,12.6,13860.2,44.4
45.7,30.3,2.5,11.4,15263.6,44.2
47,30.8,2.4,11,14739.9,44
46.4,32.8,2.1,9.4,14718.9,43.6
40.1,39.1,1.6,8.5,13891.5,44.1
38.5,41.1,2.4,8,14427.5,42.2
37.2,41.4,2.5,8.5,15667.3,42.1
35.8,42,2.6,8.8,16458.0,43.1
36.9,40,2.8,10,15167.9,40.8
36.7,36.6,2.4,11,13636.1,38
30.3,38.5,2.8,13.9,12784.6,39.7
28.9,37.9,3.1,14.1,12484.7,38.9
35.7,30.4,2.6,12.9,10131.8,31
41.7,24.4,1.9,10.7,8078.4,25.1
39.5,25.5,1.9,11.1,7791.1,26.2
42.5,23.2,1.8,10.4,6917.9,23.6
43.8,22.5,1.6,9.9,6744.6,23.1
69.2,11.1,1.3,5.3,3600.0,11.9
83.5,4,1,1.1,1688.9,4.4
83.5,4.5,0.8,0.9,1578.0,4.8
83.2,4.8,0.8,0.8,2248.0,5.3
84.2,3.8,0.7,0.7,1833.2,4.3
83.2,3.7,0.8,0.7,2410.2,4.6
82.4,3.5,0.8,0.8,2106.4,4.7
82.9,3,0.6,1,1918.3,3.7
82.3,3.2,0.6,1.4,2802.0,3.5
80.6,4.4,0.6,1.7,3162.5,4.6
81.5,3.6,0.5,1.9,2662.0,4
79.2,4.7,0.5,2.1,2790.8,5.2
79.6,4.2,0.5,2.3,2881.5,4.5
79.7,4.3,0.5,2.4,2761.3,4.5
81.1,2.7,0.4,1.7,2540.0,2.9
79.7,3.1,0.4,1.9,3094.0,3.3
80.5,2.6,0.4,1.9,2440.0,2.7
82.4,2.2,0.3,1.7,1810.0,2.1
82.1,1.9,0.3,1.6,2022.5,2.3
79.8,1.9,0.3,1.1,1424.1,1.9
85.2,1.4,0.3,1.4,1082.9,1.6
89.3,1.8,0.4,5.7,2212.8,1.9
84.9,1.3,0.3,1.9,1176.8,1.6
82.7,1.4,0.3,0.9,1081.5,1.7
83.3,1.4,0.3,1.5,1420.0,1.3
80.9,2,0.2,1.5,1592.4,2.3
77.4,3,0.2,1.3,1625.4,3.5
76.2,3.4,0.3,1.6,2118.9,3.8
55.8,30.9,0.7,2.3,15767.0,36.9
53.6,29.6,1,3.2,16896.1,37.3
57.2,23.9,1.5,3.2,16654.0,27.5
52,27.5,2.3,3.3,16541.1,31.3
49.7,27.7,2,3.3,14186.1,31.1
57.4,22.9,1.1,3.7,12182.7,26
65.1,16.8,0.6,3.1,12031.8,17.7
57.4,24,0.6,3.4,21461.0,25.6
56.5,21.3,0.5,3.1,10564.8,21.8
49.3,25.8,0.6,4.4,13200.8,26.5
44.7,19.1,0.4,8.9,6999.2,19.4
58.7,10.5,0.3,6.7,4034.9,10.9
63.1,10,0.3,4.7,3910.4,10.4
70.8,9.3,0.2,3.4,8295.9,9.6
70.8,3.9,0.1,0.9,3148.2,4.2
59.8,5.8,0.2,1.4,2608.3,5.8
67.5,2.2,0.2,1.1,1222.7,2.4
69.3,1.8,0.3,3.1,1677.8,2.1
67.6,2.1,0.3,4.2,2043.7,2.2
62.5,2.7,0.2,3.8,1685.3,2.8
58.7,5.2,0.3,3.5,2494.9,5.6
55.9,6.6,0.3,2.8,3350.3,6.5
35.9,24,1.3,6,8392.0,24.9
41,21.3,1.9,7.1,9321.7,22.6
32.3,27.1,2.2,6.6,12424.2,32.8
34,25,1.2,8.8,9023.7,34.5
37.6,23.3,1.4,9.8,8558.3,33.5
44.2,20.1,2,9.1,10010.1,30.4
53,15.1,1.6,6.3,9695.1,19.9
69.1,6.7,0.8,5.5,4668.4,7.7
63.2,14.7,0.9,2.4,9351.0,16.4
57.4,16.5,1.4,5,11059.9,17.4
56,15.6,1,4.9,9996.4,16.1
66.9,8.4,0.8,3.2,8066.2,8.7
69.2,4.9,0.5,2.6,4825.3,5.1
66.3,5.5,0.4,3.5,4814.0,5.8
59.9,8.3,0.4,2.3,4991.0,8.3
64.1,5.1,0.4,2.5,4268.1,5.4
71,1.6,0.3,1,1365.1,1.7
74,1.3,0.3,1.4,1091.0,1.4
67.5,1.4,0.3,1.5,978.0,1.5
66.5,1.7,0.3,1.6,1037.9,1.9
70.8,1.3,0.3,1.3,801.5,1.1
68.6,1.6,0.3,1.5,1277.8,2
71.5,1.7,0.3,2,1803.3,1.8
73.2,2.2,0.4,2.7,2561.0,2.5
70.5,2.9,0.5,2.9,3048.0,3.1
71.1,3.2,0.5,2.9,2992.7,3.8
70.8,3.1,0.5,3.2,3020.2,3.9
72.5,2.5,0.5,3.6,2793.0,3.3
74,2.4,0.4,3.7,2575.7,3.3
76,1.5,0.4,3.9,1918.9,1.9
76.4,1.9,0.4,4.3,2668.2,2.8
76.7,1.8,0.4,4.1,2434.0,2.7
77.2,1.7,0.3,3.8,2104.9,2.1
72.6,5.1,0.6,4.3,9705.2,6.2
64.8,10.7,0.6,6.3,10262.7,11.4
45.8,27.3,1.1,12.2,17092.1,28.3
32.6,35.7,1.7,12.4,16935.5,36.7
28.7,36.3,1.2,12.8,15387.3,37.3
37.2,27.1,1.5,11.6,11949.4,27.8
34.6,27.2,1.7,11.5,11357.4,28.2
41.6,21.4,1.8,9.5,9476.5,22
50.6,14.6,1,5.5,7074.9,15.1
46.9,15.9,1.1,7,6447.1,16.5
44.2,16.6,0.9,8.8,5679.6,17
65.1,6.8,0.6,4,2813.7,7.2
69.1,5.1,0.6,1.4,2439.8,5.1
73.5,1.9,0.5,1.1,1492.9,2
74.7,1.9,0.4,1.3,1422.5,2.1
70,4.8,0.5,1.5,2790.2,5.1
67.5,7.3,0.5,2,3121.4,7.7
68.8,5.6,0.5,1.8,3729.3,6.5
68.7,4.8,0.5,2,4412.6,5.6
69.2,4.6,0.5,2.3,3396.6,5.9
68.7,5,0.4,2.1,3010.0,5.7
64.1,7.6,0.5,3.3,6044.9,8.9
68.6,5.3,0.5,2,4212.4,6.7
66,5.6,0.5,2.8,3650.8,7
65.2,5.8,0.4,4,3491.3,6.4
63.8,5.2,0.4,4.4,3078.1,5.7
60.7,6.4,0.4,4.7,3243.8,6.9
61.4,5.1,0.4,4.8,3032.4,5.4
62.3,4.5,0.5,4.9,3701.2,4.5
60.6,4.4,0.5,6,3455.5,4.9
59.7,3.8,0.4,7.1,2282.9,4
56.1,4.2,0.4,7.3,2701.1,4.4
58.3,3.8,0.4,8.4,2381.5,4
56.2,4.3,0.4,10,2231.4,4.5
54.8,4.5,0.4,10.3,2233.6,4.7
55.7,4.6,0.5,10.4,2584.4,4.9
57.3,4.8,0.6,9.4,3220.3,4.9
59.9,5.2,0.6,8.6,3157.0,5.2
57.1,8.4,0.8,8.8,4982.9,8.7
57.6,10.3,0.9,7.8,5791.2,10.7
60.6,10.8,0.7,6.3,5006.9,11.4
65.3,6.7,0.8,5.7,4930.2,7.1
66.6,5.9,0.6,6.5,3629.5,6.5
69.5,5.9,0.7,5.6,3784.2,10.3
75.6,2.7,0.6,4.3,2732.8,3.6
76.9,3.4,0.5,5.1,2922.4,4.3
73.6,5.2,0.6,5.2,4479.1,6.2
75,4.7,0.5,4.4,4026.9,5.3
74.6,4.8,0.5,4,3890.0,5.4
73,6.3,0.8,3.9,5671.7,6.5
66.7,11.2,1.4,5.7,10512.4,11.6
64.2,9.4,0.7,6,7439.8,9.6
62.2,10.5,0.7,6.7,9612.1,11.1
58.3,11.2,0.8,7,11105.8,11.7
59,9.9,0.7,6.6,9122.6,10.3
56.6,11.9,0.8,6.3,9678.0,12.3
43.8,18.9,1.1,7.5,10507.2,19.5
38.4,25.3,1.4,8.5,9945.2,26
34.3,26,1.5,9.2,9557.6,26.9
36.7,22.2,2.3,8,9411.3,23
38.7,22.5,1.9,7.8,8247.6,23.1
43.2,16.4,1.3,6.7,7549.0,17.1
32.9,21.1,1.2,7.5,10139.9,21.9
13.5,47.8,2.2,8.9,14491.6,54.1
7.6,59.2,2.9,10.1,17300.7,80.8
12.1,54.5,1.7,10.7,15574.0,71.8
35.5,33.5,1.3,12.4,10784.6,44.4
36.4,33.4,1.3,11.9,11246.2,43.1
34.2,35.4,1.6,14.7,13505.7,42.7
27.4,42.3,1.5,16.2,11901.2,51
43.7,25.4,1,12.8,7875.3,30.1
21.8,51.3,1,12,11942.6,67.9
16.7,59.9,1.4,13.8,13625.2,78.3
17.6,58.4,1.6,13.8,12412.4,64
39.4,34.6,1.5,8.4,10797.2,35.3
13.4,60,2,12.2,13061.8,63.9
13.4,57.6,1.2,14.2,11767.5,61.8
6.1,63.9,1.6,17.9,13552.2,79.4
3.5,61,1.6,21.3,12196.8,73.6
3.5,55.4,2.1,22.3,11183.0,64.9
5.8,49,2,18.7,9668.4,55.8
6.7,44.9,1.9,15.8,8265.8,49.3
7.8,40.8,2.2,13.4,8495.7,44.3
12.6,34,2.6,11.6,8189.4,35.9
5.8,37.5,2.4,12.2,8636.5,42.3
4.9,37.7,2.5,12.1,8387.3,45.3
2.2,42.6,2.8,12.8,11963.4,63.1
1.7,45.5,2.4,10.9,12620.1,80.8
3.4,43.8,1.6,7.9,10281.9,67.9
3.2,45.9,2,7.8,13803.1,84.1
29.6,24.8,2.5,3.5,6701.8,36.4
47.4,6.9,2,0.6,4001.8,7.6
54.6,3.5,1.8,0.5,1706.7,3.8
54.4,2.4,1.6,0.3,1120.9,2.9
51.9,2.9,1.2,0.3,2144.3,3.7
53.7,3.3,1,0.4,2077.9,3.8
55.5,3.6,0.8,0.6,1985.2,4.1
55.7,4,0.8,0.6,2233.9,4.3
55.8,3.9,0.7,0.7,2411.9,4.1
57.8,3.5,0.6,1,2297.7,3.6
55.6,4.1,0.7,1.3,3127.0,4
59.6,3.4,0.8,1.2,3116.3,3.6
61.6,2.2,0.7,0.9,2270.2,2.3
62,2.1,0.6,0.9,1762.9,2.3
59.9,1.9,0.5,0.8,1322.3,2.1
60.9,1.5,0.5,0.6,815.1,1.7
64.3,1.6,0.4,0.8,728.9,1.7
66.7,1.3,0.3,0.7,667.1,1.3
61.2,1.1,0.3,0.2,768.9,1.2
57.1,1.3,0.5,0.2,1550.9,1.6
64.2,1.5,0.4,0.4,1582.5,1.8
68.3,2.3,0.3,0.6,1546.8,2.5
72.2,2.5,0.2,1.2,2097.7,3
72.5,2.6,0.3,1.2,2765.3,2.9
75.2,2.3,0.3,1.7,2452.5,2.5
74.2,2.5,0.2,2.3,2588.3,2.8
73.9,2.4,0.3,2.6,2653.8,2.8
78.5,1.6,0.3,3.3,2174.3,1.9
77.2,1.9,0.2,3.5,2474.9,2.3
79.3,1.6,0.2,3.3,2101.0,2.1
75.3,4.2,0.2,2,2992.3,4.5
72.3,4.4,0.2,2.3,3245.9,4.5
77.2,2.6,0.2,2.1,2550.8,3
77.1,2.4,0.2,2.6,3019.1,2.6
74.3,2.2,0.2,3.5,3224.4,2.5
75,1.7,0.2,3.4,2822.3,1.8
74.1,1.5,0.2,2.5,2702.6,1.9
74,1.2,0.2,2.5,2207.0,1.5
75,0.9,0.2,3.7,2499.0,1.1
74.5,0.8,0.2,4.4,3132.1,0.9
72.3,1.1,0.2,3.8,2693.2,1
69.1,1.1,0.2,3.7,2338.9,1.3
68.9,1.1,0.2,4.5,2451.5,1.2
71.5,1,0.2,5.1,1622.5,1.2
66.3,3.6,0.4,5.3,4226.1,3.9
49.5,17.4,0.6,5.3,9414.2,18
22.9,36.3,2.2,6.4,15930.2,39.4
25.4,31,1.2,6.7,12555.7,36.4
34.8,23.5,1,6.7,10671.5,28.5
27.8,30.4,1.7,7.2,14109.6,38.7
33.9,26.5,1.7,7.3,13158.3,31.3
37.2,24.9,1.6,7.7,12813.2,28.7
35,26.1,1.2,7.5,11190.7,30
31.4,32.1,1,6.6,12775.5,36.5
32.1,32.6,1.1,6.3,14183.9,35.8
21.6,41.9,1.2,10,16617.5,43.2
17.7,45.7,1.5,11.6,15105.2,47
13.3,46.8,1.5,17,15536.8,49
50.4,13.9,0.9,9.4,7737.1,14.4
66.6,3.3,0.8,3.9,3533.0,3.5
62.2,5.8,0.6,5.8,4935.1,5.7
59.7,4.9,0.4,6.6,6107.1,5.2
38.4,15.9,0.7,8.9,10587.8,16.4
31.9,15.5,0.6,9.8,10155.6,16
47.8,7.1,0.4,6.8,4590.1,7.4
31.9,19.2,0.4,8.7,5965.9,19.7
17.8,22.2,0.4,8.8,4461.8,22.8
12.7,15.5,0.2,4,2237.3,16.1
16.9,13.4,0.2,3.9,2346.9,13.8
19,14.1,0.1,5.3,2526.3,14.5
21.1,13,0.1,6,2250.2,14.3
23.6,12.3,0.2,5.9,2593.8,14.8
28.4,11.1,0.4,35.7,4852.9,16.6
23.6,11.9,0.4,8,4318.6,17.2
24.2,12.9,0.4,8.8,4919.4,19.3
24,16.1,0.4,9.7,3590.6,23.2
16.6,23.7,0.4,13.2,5044.0,33.9
19.6,25.8,0.4,11.8,5266.7,31
11.7,32.2,1,13.5,9011.6,38.2
5.2,36,1,14.3,11030.6,44.3
4.3,39.8,1,13.5,12694.8,48.5
